bit_setting,bits,metric,baseline_mode,candidate_mode,test,n_pairs,statistic,p_value,baseline_mean,candidate_mean,delta_candidate_minus_baseline,p_value_holm,significant_0_05
4,4.0,attention_output_relative_error,protected_v,v_prod_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.07960680292712317,0.22967786259121364,0.15007105966409046,0.01953125,True
4,4.0,hidden_cosine_similarity,protected_v,protected_v_lowrank,wilcoxon_signed_rank,9,0.0,0.00390625,0.9968286686473422,0.9970539013544718,0.00022523270712959675,0.01953125,True
4,4.0,hidden_cosine_similarity,protected_v,v_mse_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.9968286686473422,0.9952492978837755,-0.0015793707635667342,0.01953125,True
4,4.0,hidden_cosine_similarity,protected_v,v_mse_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.9968286686473422,0.9953006969557868,-0.0015279716915553854,0.01953125,True
4,4.0,hidden_cosine_similarity,protected_v,v_prod_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.9968286686473422,0.9745232396655612,-0.022305428981781006,0.01953125,True
4,4.0,hidden_cosine_similarity,protected_v,v_prod_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.9968286686473422,0.9746946162647672,-0.022134052382575042,0.01953125,True
4,4.0,memory_ratio_vs_exact,protected_v,protected_v_lowrank,wilcoxon_signed_rank,9,0.0,0.00390625,0.20751953125,0.22314453125,0.015625,0.01953125,True
4,4.0,memory_ratio_vs_exact,protected_v,v_mse_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.20751953125,0.13671875,-0.07080078125,0.01953125,True
4,4.0,memory_ratio_vs_exact,protected_v,v_mse_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.20751953125,0.13671875,-0.07080078125,0.01953125,True
4,4.0,memory_ratio_vs_exact,protected_v,v_prod_block_so8,wilcoxon_signed_rank,9,0.0,0.00390625,0.20751953125,0.140625,-0.06689453125,0.01953125,True
4,4.0,memory_ratio_vs_exact,protected_v,v_prod_random,wilcoxon_signed_rank,9,0.0,0.00390625,0.20751953125,0.140625,-0.06689453125,0.01953125,True
